appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
10,Counter-Strike,Valve,Valve,,243552,6417,0,"10,000,000 .. 20,000,000",13551,1934,145,391,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,13425,"{'Action': 5503, 'FPS': 4928, 'Multiplayer': 3473, 'Shooter': 3418, 'Classic': 2849, 'Team-Based': 1921, 'First-Person': 1761, 'Competitive': 1654, 'Tactical': 1391, ""1990's"": 1246, 'e-sports': 1232, 'PvP': 928, 'Old School': 829, 'Military': 665, 'Strategy': 641, 'Survival': 322, 'Score Attack': 304, '1980s': 285, 'Assassin': 248, 'Nostalgia': 206}"
20,Team Fortress Classic,Valve,Valve,,7594,1135,0,"5,000,000 .. 10,000,000",2712,6,24,6,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,72,"{'Action': 767, 'FPS': 333, 'Multiplayer': 280, 'Classic': 254, 'Hero Shooter': 226, 'Shooter': 224, 'Team-Based': 203, 'Class-Based': 197, 'First-Person': 188, ""1990's"": 163, 'Old School': 123, 'Co-op': 99, 'Competitive': 83, 'Fast-Paced': 74, 'Retro': 68, 'Online Co-Op': 61, 'Violent': 57, 'Funny': 40, 'Mod': 40, 'Remake': 40}"
30,Day of Defeat,Valve,Valve,,6411,685,0,"5,000,000 .. 10,000,000",2779,0,22,0,499,499,0,"English, French, German, Italian, Spanish - Spain",Action,92,"{'FPS': 804, 'World War II': 272, 'Multiplayer': 216, 'Shooter': 194, 'Action': 165, 'War': 159, 'Team-Based': 140, 'Classic': 133, 'First-Person': 110, 'Class-Based': 85, 'Military': 72, 'Historical': 63, 'Tactical': 47, 'Singleplayer': 45, 'Co-op': 37, 'Violent': 24, 'Old School': 23, 'Retro': 23, 'Difficult': 23, 'Strategy': 17}"
50,Half-Life: Opposing Force,Gearbox Software,Valve,,24275,1192,0,"2,000,000 .. 5,000,000",2617,0,131,0,499,499,0,"English, French, German, Korean",Action,123,"{'FPS': 934, 'Action': 362, 'Classic': 291, 'Sci-fi': 285, 'Singleplayer': 266, 'Shooter': 251, 'First-Person': 221, 'Aliens': 211, ""1990's"": 168, 'Adventure': 141, 'Atmospheric': 133, 'Military': 132, 'Story Rich': 103, 'Silent Protagonist': 99, 'Great Soundtrack': 77, 'Gore': 65, 'Puzzle': 63, 'Moddable': 45, 'Retro': 44, 'Co-op': 42}"
60,Ricochet,Valve,Valve,,4987,1039,0,"5,000,000 .. 10,000,000",2570,0,4,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,6,"{'Action': 594, 'FPS': 141, 'Multiplayer': 123, 'Classic': 99, 'First-Person': 90, 'Sci-fi': 63, 'Shooter': 62, 'Space': 51, 'Cyberpunk': 41, 'Psychological Horror': 37, '3D': 35, 'Memes': 34, 'Retro': 34, 'Platformer': 33, 'Old School': 32, 'Conspiracy': 32, 'Cult Classic': 29, 'Competitive': 28, 'Sports': 15, 'Great Soundtrack': 13}"
70,Half-Life,Valve,Valve,,142752,5125,0,"10,000,000 .. 20,000,000",1222,115,133,171,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,973,"{'FPS': 2506, 'Classic': 1994, ""1990's"": 1980, 'Singleplayer': 1968, 'Sci-fi': 1968, 'Multiplayer': 1968, 'Shooter': 1939, 'Action': 1930, 'First-Person': 1928, 'Aliens': 1913, 'Story Rich': 1906, 'Silent Protagonist': 1899, 'Atmospheric': 1887, 'Gore': 1853, 'Retro': 1848, 'Moddable': 1842, 'Adventure': 1840, 'Action-Adventure': 1830, 'Difficult': 1803, 'PvP': 1770}"
80,Counter-Strike: Condition Zero,Valve,Valve,,24232,2287,0,"5,000,000 .. 10,000,000",1167,134,25,134,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,505,"{'Action': 1384, 'FPS': 1046, 'Shooter': 774, 'Multiplayer': 637, 'First-Person': 482, 'Singleplayer': 429, 'Classic': 404, 'Tactical': 384, 'Team-Based': 329, 'Competitive': 315, 'Military': 188, 'Online Co-Op': 183, 'Strategy': 177, 'Adventure': 87, 'Survival': 67, 'Atmospheric': 66, 'Old School': 61, 'Open World': 38, 'Dark': 38, 'Violent': 35}"
130,Half-Life: Blue Shift,Gearbox Software,Valve,,17320,1408,0,"1,000,000 .. 2,000,000",1828,542,126,542,499,499,0,"English, French, German",Action,47,"{'FPS': 495, 'Action': 309, 'Sci-fi': 240, 'Singleplayer': 218, 'Shooter': 196, 'Aliens': 180, 'Classic': 167, 'First-Person': 162, 'Zombies': 113, 'Adventure': 107, ""1990's"": 101, 'Short': 92, 'Atmospheric': 89, 'Silent Protagonist': 74, 'Story Rich': 64, 'Puzzle': 41, 'Moddable': 39, 'Retro': 37, 'Great Soundtrack': 34, 'Violent': 31}"
220,Half-Life 2,Valve,Valve,,238786,5887,0,"10,000,000 .. 20,000,000",823,162,357,45,999,999,0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Turkish, Ukrainian",Action,2705,"{'FPS': 4266, 'Action': 3046, 'Sci-fi': 2692, 'Classic': 2466, 'Singleplayer': 2437, 'Story Rich': 2125, 'Shooter': 1908, 'First-Person': 1791, 'Adventure': 1528, 'Dystopian ': 1396, 'Atmospheric': 1290, 'Zombies': 1203, 'Silent Protagonist': 1200, 'Physics': 1160, 'Aliens': 1098, 'Great Soundtrack': 1093, 'Horror': 1021, 'Multiplayer': 955, 'Puzzle': 871, 'Moddable': 663}"
240,Counter-Strike: Source,Valve,Valve,,175224,6792,0,"10,000,000 .. 20,000,000",5696,87,350,109,999,999,0,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Action,10292,"{'Shooter': 5329, 'FPS': 3208, 'Action': 3182, 'Multiplayer': 2562, 'Team-Based': 1722, 'First-Person': 1517, 'Competitive': 1379, 'Tactical': 1364, 'PvP': 1050, 'e-sports': 989, 'Military': 782, 'War': 658, 'Strategy': 536, 'Moddable': 517, 'Singleplayer': 425, 'Difficult': 399, 'Atmospheric': 310, 'Survival': 285, 'Simulation': 250, 'Sandbox': 212}"
